Year,Country Index,Country,Region Index,Region,Province / State,City,Latitude,Longitude,Multiple Attack,Success Attack,Suicide,Attack Type Index,Attack Type,Target Type Index,Target Type,Weapon Type Index,Weapon Type,Total No. of Fatalities,Total No. of Injured,Total No. of Hostages/Kidnapping Victims
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,14,1,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,0,3,Bombing/Explosion,4,Military,6,Explosives,2,3,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Dowr,34.458889,43.791004,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,15,25,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,1,3,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,66,150,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Tikrit,34.621521,43.668377,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,9,,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Tikrit,34.621521,43.668377,0,1,0,2,Armed Assault,7,Government (Diplomatic),5,Firearms,3,3,
2007,95,Iraq,10,Middle East & North Africa,Al Anbar,Ramadi,33.420948,43.295662,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,15,25,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,20,
2007,95,Iraq,10,Middle East & North Africa,Kirkuk,Kirkuk,35.45211,44.375465,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,13,65,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,56,127,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Tikrit,34.621521,43.668377,0,1,0,2,Armed Assault,3,Police,5,Firearms,3,4,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,2,10,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,19,Transportation,6,Explosives,5,11,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,2,
2007,95,Iraq,10,Middle East & North Africa,Saladin,Duluiyah,34.057114,44.218292,0,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,6,15,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,4,Military,6,Explosives,3,17,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,9,150,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,8,20,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,1,3,Bombing/Explosion,4,Military,6,Explosives,6,20,
2007,95,Iraq,10,Middle East & North Africa,Najaf,Najaf,32.000596,44.330818,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,9,43,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,1,7,
